,July2021,July2020,gain/loss
fintech,138,61,77
internet software & services,121,61,60
e-commerce & direct-to-consumer,84,56,28
artificial intelligence,63,46,17
health,56,33,23
other,50,30,20
"supply chain, logistics, & delivery",43,27,16
mobile & telecommunications,35,30,5
auto & transportation,31,29,2
cybersecurity,30,14,16
hardware,27,19,8
data management & analytics,27,21,6
edtech,26,18,8
consumer & retail,21,17,4
travel,13,13,0
